Year,export.a,quarter,indicator.q,export.q
F2009,15581,FY2009q1,2091,4355.1
FY2010,16233,FY2009q2,2011,3352.9
FY2011,22592,FY2009q3,2092,3970
FY2012,23989,FY2009q4,2016.1,3905
FY2013,26566,FY2010q1,2028.4,3875
FY2014,29765,FY2010q2,2184.3,3410
FY2015,30697,FY2010q3,2194.1,4270
FY2016,33441,FY2010q3,2504.3,4680
FY2017,34019,FY2011q1,2423.9,5037
FY2018,36205,FY2011q2,2944.9,5257
,,FY2011q3,2898.6,5718
,,FY2011q4,3193.8,6580
,,FY2012q1,3166.8,6104
,,FY2012q2,3154.5,5530
,,FY2012q3,2893,6047
,,FY2012q4,2906.2,6308
,,FY2013q1,2772.9,6186
,,FY2013q2,2522,6201
,,FY2013q3,2813.7,6970
,,FY2013q4,2921,7209
,,FY2014q1,3670.5,7536
,,FY2014q2,3262.2,6975
,,FY2014q3,4502.3,7451
,,FY2014q4,3494,7803
,,FY2015q1,3234.2,7583
,,FY2015q2,3002.3,7114
,,FY2015q3,2786,7861
,,FY2015q4,3601.2,8210
,,FY2016q1,2803.3,7640
,,FY2016q2,3207,8089
,,FY2016q3,3300.9,8624
,,FY2016q4,3926.5,9088
,,FY2017q1,3322,7938
,,FY2017q2,3373,8471
,,FY2017q3,4145,8921
,,FY2017q4,3463,8689
,,FY2018q1,4301,8549
,,FY2018q2,4570,9137
,,FY2018q3,5386,9412
,,FY2018q4,5128,9107
,,FY2019q1,4938,9412
,,FY2019q2,4936,9107
